utc,Program:Unwind.Uw_Pos_Step_Ref,Program:Unwind_Ratio_Detector.__l91ba878500000f83,Program:Unwind_Ratio_Detector.__l91ba878516ce4f90,Program:Unwind_Ratio_Detector.__l91ba8785208b6462,Program:Unwind_Ratio_Detector.__l91ba878559d862fe,Program:Unwind_Ratio_Detector.__l91ba87855a963948,Program:Unwind_Ratio_Detector.__l91ba8785d0c0ad05,Program:Unwind_Ratio_Detector.__l91ba8785f90ef335
2019-04-12T10:39:19.444700,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:39:21.968844,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:39:24.525990,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:39:26.931128,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:39:29.524276,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:39:32.004418,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:39:34.611567,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:39:37.121711,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:39:39.605853,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:39:42.126997,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:39:44.727146,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:39:47.165285,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:39:49.721431,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:39:52.201573,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:39:54.723718,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:39:57.323866,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:39:59.808008,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:40:02.367155,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:40:05.042308,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:40:07.643457,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:40:10.205603,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:40:12.681745,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:40:15.122884,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:40:17.524022,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:40:20.047166,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:40:22.604312,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
